 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1676399,201908,1801-2400,D01.TRACON,CO,,,,9000,,VMC,,,Night,,,TRACON D01,Air Carrier,A320,,2,Part 121,IFR,Passenger,FMS Or FMC,Final Approach,,Class B DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON D01,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,,,Class B DEN,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 169; Flight Crew Total 10844; Flight Crew Type 367,,Situational Awareness,,,1676399,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Situational Awareness,,,1676753,Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude,,,Automation Aircraft RA,In-flight,Flight Crew Took Evasive Action,Human Factors; Procedure,Human Factors,"ATC vectored aircraft on 16L and 16R. I was on course on glide slope from 10;000 ft MSL. Approach Control called out traffic for 16L. My two jump seaters identified the traffic and pointed it out to me. The traffic appeared to be lined up for 16L. I monitored traffic while hand flying the ILS. At 9;000 ft MSL I responded to an RA (Resolution Advisory) by climbing 1;500 FPS. Next the RA commanded a level off. I leveled off and evaluated my position on approach. I directed transponder to TA (Traffic Advisory); since traffic was still in sight by my two jump seaters and me. I announced that we were high on approach and may have to go around. I then configured aircraft for maximum descent angle and returned to glide path by 1;700 ft AGL. Tower cleared us to land. The other aircraft [requested priority handling from ATC] on short final because he had passed within 100 ft of us. I called the Tower Supervisor who confirmed that TCAS events are a problem on these two runways.",,"Night VMC arrival into DEN; cleared for ILS 16R. Captain as PF (Pilot Flying); hand flying. Two jump seating pilots on board; slight overshooting crosswind; PF commented he would start turn to intercept a little early so as to not overshoot; this being DEN we were acutely aware of the possibility of traffic to 16L so did not want to stray off course. Intercepted final on course outside of SADIK and maintained on course the whole time. During descent somewhere around MERYN we got a TCAS 'TRAFFIC' followed nearly immediately with a climb RA. It happened so quickly we barely had time to look outside to try and acquire the traffic before getting the climb RA. The PF executed the climb RA and I notified Approach Control '[Aircraft X] TCAS climb'. Approach Control replied; 'Roger; contact Tower.' We had not been notified of simultaneous traffic to 16L; but it was a busy night so this was not unexpected for DEN. Both jump seaters acquired the traffic and pointed it out to the Captain. Traffic was a small aircraft off our left wing. Both jump seaters later said it looked like normal spacing. The RA completed; the PF said he would try and return to a stabilized approach and if unable he would go around. We extended gear and flaps and were back on glide slope by around 1;700 ft; stabilized on airspeed and fully configured. With the traffic in sight; I went to TA only; checked in with Tower; received landing clearance and we made an uneventful remainder of our approach and landing. When the other aircraft checked in with Tower; or maybe we were still on approach frequency; he [requested priority handling with ATC]. ATC asked him and he said something like; 'I almost hit that aircraft; we were within 100 ft.' ATC said something like 'You are on simultaneous approaches to parallel runways.' After exiting the aircraft the Captain called the Tower and was told that the other aircraft FO (First Officer) said they were within 200 ft. Tower did not comment on our tracks or separation. I am confident we were on course. I do not believe either aircraft were verbally made aware of the others presence or proximity; but it is not unusual for DEN. The Captain believes he heard a Traffic Advisory from Approach right before the RA.",,"A320 flight crew reported an NMAC with another aircraft during parallel approaches to DEN 16L/R.",
1676474,201908,1201-1800,ZAB.ARTCC,NM,,,,33000,,VMC,,,,,,Center ZAB,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Cruise,Direct,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Human-Machine Interface; Confusion; Situational Awareness,,,1676474,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Became Reoriented; Flight Crew Overcame Equipment Problem,Equipment / Tooling; Human Factors; Environment - Non Weather Related; Company Policy; ATC Equipment / Nav Facility / Buildings,Environment - Non Weather Related,"We were flying just North of White Sands Missile test at 33;000 feet. We started to get multiple intermittent EICAM messages related to the GPS system.  We notified ATC and they confirmed that the military was doing GPS jamming at White Sands.  Eventually; we lost both GPS units; (GPS Primary FAIL) and developed a bad drift in our inertials (20+ miles).  We confirmed the position error with our IPAD GPS; VOR; and by RADAR position with ATC.  Our NDs showed us north of a NAVAID by 10 miles; when we were actually about 10 miles south of it.  We disabled GPS input to the inertials; and used automatic radio updates to calm the inertial units down.  Number 2 was still showing excessive drift; so we went to ATT REF on Number 2; and switched the First Officer displays to Number 3.  We called Dispatch on the Crew Phone App; and had a group discussion with him and a rep from Maintenance.  The Maintenance Rep and the book had no way to get the GPS units back on line.  Both units were showing blanks on their position ref pages.  We were down to VOR navigation; and headings from ATC.  We discussed diverting; but decided to press on after checking the weather and confirming with ATC that they could handle the additional work load of vectoring us; as we were unable to do any RNAV navigation. GPS jamming needs to be discontinued near commercial aviation.  Had we been IMC or the weather had been worse at our destination; we would have had to divert.  Our position was over 20 miles off of what was displayed on our screen. We confirmed this by the GPS in our IPADS; VOR; and RADAR position with ATC.",,,,"An air carrier pilot reported losing both GPS units and was off course due to military GPS jamming.",
1677041,201908,1201-1800,LFPG.Airport,FO,,,,,,VMC,,,,,,TRACON LFPG,Air Carrier,B777-200,,2,Part 121,IFR,Passenger,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON LFPG,Air Carrier,B777 Undifferentiated or Other Model,,,Part 121,,,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Total 18600,,Situational Awareness; Workload; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1677041,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,Flight Crew Returned To Clearance,Procedure; Human Factors; Environment - Non Weather Related,Environment - Non Weather Related,"Deviation from SID track. I was Pilot Monitoring during climb out on the LGL 3B at CDG. We departed with minimum spacing behind a 777-300ER. With a weak to negligible crosswind component in light winds; we got into strong wake turbulence.  Captain/Pilot Flying altered our flight path in an effort to climb above and upwind of the wake.  We were given a frequency change to Departure Control; at which point we were in and out of the wake turbulence.  We were unable to fly over PG264.  Due to frequency congestion and my concern with monitoring the flight path; airspeed and cleaning up the aircraft; I failed to check in with Departure in a timely manner. Weather was VMC with scattered small TCUs and I observed no apparent traffic conflicts. As we began acceleration to clean up; ATC cleared us direct LESGA. Remainder of flight was uneventful.Task saturation and frequency congestion. We could have been more proactive; i.e. requesting increased spacing above standard before commencing takeoff. I also could have been more assertive with pilot-to-pilot; as well as ATC communication; and asked the Pilot Flying if he would like SID track relief or just requested it from Departure Control.",,,,"B777 F/O reported track deviations occurred departing LFPG after encountering wake turbulence from a preceding B777-300.",
1677174,201908,1201-1800,ZZZ.Airport,US,210,1,400,,,VMC,10,,Daylight,25000,,Tower ZZZ,Air Taxi,IAI1124/1124A Westwind,,2,Part 135,IFR,Passenger,,Takeoff / Launch,Vectors,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Not Flying,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Multiengine,Flight Crew Last 90 Days 110; Flight Crew Total 1165; Flight Crew Type 37,,Communication Breakdown; Time Pressure; Workload,Party1 Flight Crew; Party2 ATC,,1677174,,,,,,,,,,,,Conflict Airborne Conflict; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew Took Evasive Action,Human Factors,Human Factors,"I was SIC on an IFR flight departing from ZZZ. The PIC asked me to pick up our clearance prior to our departure. I received our clearance from ZZZ Clearance Delivery frequency. Our clearance route was 'Via radar vectors then as filed.' The PIC determined that we would have to fly the published ODP (Obstacle Departure Procedure) for runway XXL at ZZZ. He insisted that since we were not given a departure procedure; the ODP was mandatory.Immediately prior to receiving our take off clearance; Tower gave us a new departure frequency as well as departure instructions. I read the instructions back to Tower and accepted our take off clearance. Our instructions were 'On departure turn right heading 270 climb and maintain 3;000 cleared for takeoff runway XXL.' Shortly after rotation and during our initial climb out; the PIC began a left turn to heading 150 to follow the ODP. I challenged the PIC by saying 'I believe it's a right turn to heading 270'. The PIC responded to me with 'We're following the ODP.' Approximately 2 seconds later; tower instructed us 'I need you to make a right turn; that's a right turn to 270 immediately.' The PIC assumed radio communications from me at that time and responded to tower with 'We're following the ODP.' The PIC continued the left turn to heading 150 after being instructed by tower to turn right heading 270. Tower then instructed another aircraft to make a left turn heading 090 immediately. The PIC finally listened to tower's instructions and began the right turn to heading 270 after several seconds of defiance. Tower was professional at all times and politely asserted that clarification of clearance needs to be made for future reference.",,,,"Air Taxi First Officer reported Captain flew Obstacle Departure Procedure instead of assigned departure resulting in an airborne conflict.",
1677178,201908,1801-2400,ZZZ.Airport,US,,,,2000,,VMC,10,,Daylight,3500,,CTAF ZZZ,Personal,Baron 55/Cochise,,2,Part 91,VFR,Training,,Final Approach,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF ZZZ,,Cessna Aircraft Undifferentiated or Other Model,,1,,,,,,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Instructor; Pilot Not Flying,Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 300; Flight Crew Total 8900; Flight Crew Type 10,,Workload,,,1677178,Aircraft X,Flight Deck,Personal,Pilot Flying,Flight Crew Private; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 25; Flight Crew Total 4500; Flight Crew Type 2600,,Time Pressure; Workload; Situational Awareness,,,1677207,Airspace Violation All Types; Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Exited Penetrated Airspace; Flight Crew Took Evasive Action,Human Factors,Human Factors,"Flight student owns a Be-55 Baron. While accomplishing an IPC and BFR; a near miss occurred at ZZZ ILS XX on short final. Be-55 was short final; straight in on the ILS XX. At the same time a small Cessna turned left base to final for runway XX. Be-55 took evasive action to avoid hitting the Cessna on final. After leaving area; Be-55 student was given a simulated left engine failure at 3;000 MSL; but dropped down into ZZZ1's airspace. Flight Instructor was unable to assist in taking action due to the throw-over yoke or communicate with ATC due to the microphone switch being attached to the throw-over yoke.",,"[Report narrative contained no additional information].",,"BE55 flight crew reported NMAC and airspace violation during training flight.",
1677290,201908,1201-1800,LAX.Airport,CA,,,,12500,,,,,Daylight,,,TRACON SCT,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Climb,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON SCT,Air Carrier,B777 Undifferentiated or Other Model,,2,Part 121,IFR,,,Climb,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 313,,,,,1677290,,,,,,,,,,,,Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Procedure; Environment - Non Weather Related; Aircraft,Aircraft,"We were following a Heavy 777 and were getting a little wake from it. I changed from VNAV to LVL change to climb at a higher rate to get above the 777. We were supposed to be at or below DARRK at 12;000 feet. We crossed it at about 12;500 feet.",,,,"B737-700 Captain reported overshooting an altitude restriction departing LAX after encountering wake turbulence from a preceding B777.",
1677316,201908,1201-1800,LAX.Airport,CA,,,,,,VMC,,,,,,TRACON SCT,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,,Climb,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,Flight Director,,X,Malfunctioning,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 194.8; Flight Crew Type 633.12,,Confusion; Situational Awareness,,,1677316,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Aircraft,Aircraft,"Departing LAX from [Runway] 25R on the ORCKA 3 RNAV SID.  On initial climb and somewhere around the DOCKR intersection; my flight director bar disappeared.  Because of this; I cannot say with complete confidence that we made the required turn to 236 degrees at DOCKR as required per the RNAV SID.  We did make the left turn as soon as possible without LNAV or flight director and used the heading bug as a reference.  I do not know what caused LNAV/VNAV to disengage. We did encounter changes in pitch; roll and airspeed about that moment commensurate with a minor wake turbulence encounter.  However; I do not believe this was related to the loss of LNAV/VNAV but did contribute to the overall confusion of the situation.  We were able to re-engage LNAV/VNAV and also autopilot and the departure continued uneventfully.",,,,"B737NG First Officer reported a track deviation occurred departing LAX after the flight director bar disappeared.",
1677425,201908,1801-2400,ZZZ.Airport,US,,,,,,,,,Night,,,Tower ZZZ,Air Carrier,Light Transport,,,Part 121,,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,Corporate,Small Transport,,,Part 121,,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,Other X,Air Carrier,Captain; Pilot Flying,Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Training / Qualification; Situational Awareness,,,1677425,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,Air Traffic Control Separated Traffic,Human Factors,Human Factors,"Upon arrival into ZZZ; we had been vectored on; and cleared for; the ILS XXR. We were told to maintain 170kts until ZZZZZ. There was also a corporate jet in front of us on the approach to XXR as well; and was given the same 170kt until ZZZZZ instructions. They slowed down way prior to this point; and I could see we were gaining on them on the TCAS (Traffic Collision Avoidance System). About the same time; and still prior to ZZZZZ; Tower noticed as well; and informed us of our 50kt overtake and asked us to slow to our final speed. Tower also allowed us to do some S-turns; but in the end it was still too close and Tower instructed us to go around. Corporate pilots did not follow ATC (Air Traffic Control) instruction and caused a spacing issue between them and us.Executed a successful go-around; got vectored back around; and landed safely.Corporate pilots need to pay attention and follow ATC instructions.",,,,"Light transport flight crew on approach was instructed to go-around due to conflict with a corporate jet.",
1677441,201908,0001-0600,ZZZZ.ARTCC,FO,,,,3000,,,,,,,,Center ZZZZ,Air Carrier,B747-400,,2,Part 121,,Cargo / Freight / Delivery,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Confusion; Time Pressure; Workload; Situational Awareness; Human-Machine Interface; Distraction,,,1677441,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented,Human Factors,Human Factors,"The First Officer and I arrived at the aircraft about 30 minutes prior to proposed blockout time as a two pilot crew. The freight appeared to be loaded as I climbed the stairs so I continued to push for an on time departure. I entered the cockpit and started the preliminary flight deck procedure and was immediately asked to sign all of the paperwork including weight and balance. I took it as a sign that they were pushing for an on time departure as well and I signed the paperwork. I completed the flight deck procedure and sat in the seat and completed the CDU (Control Display Unit) set up to match the flight plan. I then completed the initialization; performance and sent for a clearance. The First Officer entered the cockpit at that point after doing the walk around; checking the main deck and also the upper deck. I verified the clearance and asked him to check the paperwork and completed the overhead preflight. At this point the fuel receipts showed up and were verified and entered. After the First Officer completed his independent verification I briefed and called for the preflight checklist. We finished the preflight checklist and I opened the doors synoptic and seen that there were cargo doors still open. I called downstairs on the intercom to see if anybody was on the headset; this was right on time for blockout. I tracked down the GSC (Ground Security Co-coordinator) to find out what the issues were and he explained to me that the aircraft had only arrived an hour prior and he was doing the best he could but we would be delay for at least 30 minutes. I informed the First Officer and then we reviewed the NOTOC (Notification to Captain) which was fairly lengthy and intricate. When loading was finally completed we sent for new ATIS; checked the main deck; and pushed back after appropriate flows and checklist. We taxied out and took off.On the departure following the ZZZZZ departure procedure we made the turn south at point ZZZZZ1 and ATC inquired of our heading. The First Officer reported the heading and ATC repeated their inquiry. The First Officer and Pilot Monitoring shot me a look and I told him that I would handle the radio call; I reported that we were proceeding to point ZZZZZ1 on the ZZZZZ; at which point he gave us a heading of 060. We were inquisitive and started digging for the clearance to verify we were doing what we were supposed to be doing. There was the mistake; glaring at us was ZZZZZ2; plain as day! Speaking for myself I looked right at the clearance but had it in my mind and saw ZZZZZ instead of ZZZZZ1. The (First Officer) reported doing very the same thing. I should have caught it; I really have no excuses; I can find contributions to the actions that I took but ultimately it was my mistake. I entered the departure; double and triple checked it; but yet failed to find the discrepancy. The event itself and the rest of the flight was uneventful; but it could have led to catastrophe. I wanted to file an ASAP to show how this can happen and the events that led up to it. I allowed myself as the Captain to rush not only my own actions but the actions of my First Officer as well to overlook a crucial CDU input in a distraction filled environment with only two pilots to mitigate the potential hazards. I also found extra time that I could have went back through the information at a slower pace; yet failed to do so; instead focusing on a large NOTAC containing multiple hazmat threats. I have learned that I should not rush myself under most circumstances and that I should pay special attention to PDC (Pre-Departure Clearance) clearances; for whatever reason my eyes and mind tricked me into seeing what I wanted to see instead of what was actually there. I have also learned to prioritize crucial flight planning by slowing down and making sure that is done correctly before moving on to other important tasks. I am a good pilot and I don't make too many mistakes; but I made this one and I will learn from itand move forward. I hope that others can learn from it as well.",,,,"Aircraft Flight Crew flew incorrect departure clearance after takeoff and ended uneventfully.",
1677471,201908,0001-0600,ZZZ.TRACON,US,,,1000,,,VMC,,,Night,,,TRACON ZZZ,Air Carrier,B757-200,,2,Part 121,IFR,Cargo / Freight / Delivery,FMS Or FMC,Descent,Visual Approach,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1677471,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1677472,Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Other Automation; Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Flight Crew FLC Overrode Automation; Flight Crew Took Evasive Action,Human Factors,Human Factors,"We were cleared for a visual approach to Runway XX while proceeding directly to ZZZZZ. The Captain adjusted the flight path to intersect final between ZZZZZ and ZZZZZ1. He adjusted the MCP (Mode Control Panel) altitude to 2;200 ft.; and since we were high on energy; used the speed brakes to increase descent rate. Airspeed was around 245. As the aircraft descended; I heard '1000' followed immediately by 'TERRAIN' from the EGPWS (Enhanced Ground Proximity Warning System). We were in visual conditions and the flight path was clear; but the Captain responded appropriately by disconnecting the AP (Autopilot) and auto throttles; stowing the speed brake; initiating a climb; and advancing the power. The alert immediately discontinued; and he recovered by adjusting pitch and power appropriately. We elected to continue the approach at that point and landed the aircraft uneventfully.We should have left the MCP altitude at a higher altitude until further past the ridge line and/or proceeded to a point further out on the approach path to preclude this alert. The sink rate with the speed brakes extended and shortened path to final combined to trigger the system; which I believe operated correctly. Too aggressive trying to descend.",,"I triggered a terrain alert at 1;000 ft AGL while maneuvering to land on Runway XX at ZZZ. We had briefed the visual to Runway XX backed up by the ILS. ATC (Air Traffic Control) cleared us to 3;600 ft then cleared us for a visual approach. We were in VFR conditions slightly high on the approach and fast. The auto pilot was still on. I put 2;200 in the MCP (Mode Control panel) for the crossing altitude at ZZZZZ1. I was using speed brakes to descend. I intended to level off 2;200 feet then slow down. My closure rate with the ground was too fast because of my airspeed and use of speed brakes. When the terrain warning triggered; I disconnected autopilot; auto throttles and stowed the speed brakes. I initiated a climb then we verified our position relative to the airport. We were in VFR conditions and we still had the airport in sight. I leveled the airplane off and configured for landing. Previously when I had flown this approach; I had made the turn to final near ZZZZZ intersection at a higher altitude. That was the safer; smarter thing to do. Like most potential accident situations; I was making multiple mistakes. I did not completely understand the terrain on that side of the airport. I thought I would be at least 1;500 ft AGL outside of ZZZZZ1. I was not. I was closer to 1;000 ft AGL when the terrain warning went off. My use of speed brakes increased the descent rate and increased the closure rate with the ground. I accepted the visual approach and put 2;200 ft in the MCP. I was not on a published portion of the approach and I went below the last assigned altitude given by the Controller. Stay at the assigned altitude until on a published portion of the approach. Better descent planning so that the energy state is appropriate while approaching the FAF (Final Approach Fix).",,"B757-200 pilot encountered terrain warning on approach and landed uneventfully.",
1677556,201908,1201-1800,ZBW.ARTCC,NH,,,,25000,,VMC,,,,,,Center ZBW,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,FMS Or FMC; VOR / VORTAC RKA,Descent,STAR HAARP3,Class A ZBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 155; Flight Crew Total 2741; Flight Crew Type 2230,,Confusion,,,1677556,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 215; Flight Crew Type 1001,,Confusion,,,1677557,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew; Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Clearance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Diverted,Chart Or Publication,Chart Or Publication,"On the HAARP3 RNAV Arrival into LGA; we were given a hold over RKA. We were told to hold as published on the depicted radial and were given an EFC time approximately 45 minutes from the present time. The Captain and I had previously discussed how the holding leg length of 40 miles that was depicted on the chart seemed odd; but unfortunately didn't query the Controller about it. Captain built the hold into the FMC and I confirmed it before Captain executed it. We entered the hold and about 3/4 of the way out on the outbound leg we were asked by the Controller where we were going. I replied that we were flying a 40 mile leg length because that was what we had depicted on our charts. We had a lengthy discussion with the Controller as to where we had found this information and what we used for charts. We were instructed to reduce the leg length to 20 miles and subsequently; by a different Controller; to 10 miles. We complied with both leg lengths. Another aircraft on the frequency overheard our discussion with Boston Center and noted that they had 40 mile legs for that hold depicted on their charts as well. After about an hour of holding; we decided to proceed to our alternate and were vectored out of the hold.",,"Flight to LGA was a delayed flight. On the HAARP3 STAR for LGA we were instructed by Boston Center to hold as published over RKA. The chart depicts 40NM legs. We programmed the FMC for the hold with 40NM legs as depicted on the Jeppesen chart. After entering the hold we began to get busy with our planning and communications with Dispatch; FA's and passengers. At some point on the outbound leg ATC asked; 'where are you going?' We reported we were holding with 40 mile legs as depicted on the chart which we also confirmed with the high altitude enroute chart. ATC claimed that their charts showed something different and asked us to do 10 mile legs. We complied with their request.",,"Air carrier flight crew reported an erroneous Jeppesen chart depiction of the holding fix at RKA VOR on the HAARP3 arrival into LGA. It depicts 40NM instead of the correct distance of 10NM.",
