flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,flight_date,flight_year,flight_month,flight_day,year_month,problem_category,diverted_airport,diverted_flag,fueldump_flag
TVS1152_20180806,TVS1152,QS1152,508340,UR-CNP,B734,LKPR,LIPZ,LEMG,LIPZ,unclear,diverted,unknown,,,,,2018-08-06,2018,8,6,2018-08,unconfirmed_emergency,LIPZ,True,False
AAL43_20180808,AAL43,AA43,aae958,N802AN,B788,LIPZ,LFPG,KORD,LFPG,unclear,diverted,unknown,,,,,2018-08-08,2018,8,8,2018-08,unconfirmed_emergency,LFPG,True,False
CAL5321_20180808,CAL5321,CI5321,89911d,B-18709,B744,KJFK,,PANC,,,,,,,,,2018-08-08,2018,8,8,2018-08,unspecified,,False,False
VOI959_20180809,VOI959,Y4959,0d0932,XA-VLL,A320,KSAT,,MMGL,,,,,,,,,2018-08-09,2018,8,9,2018-08,unspecified,,False,False
SHT14P_20180811,SHT14P,BA1455,400afc,G-EUXD,A321,EGPH,EGLL,EGLL,,unclear,planned,unknown,,,,,2018-08-11,2018,8,11,2018-08,unconfirmed_emergency,,False,False
UAL463_20180812,UAL463,UA463,a923a9,N68823,B739,KLGA,KORD,KORD,,,,,,,,,2018-08-12,2018,8,12,2018-08,unspecified,,False,False
BCS5706_20180814,BCS5706,QY5706,4070a7,G-DHKB,B752,LIME,LIME,LROP,LIME,unclear,return,unknown,4bc5c976,cabin_pressure,return,unknown,2018-08-14,2018,8,14,2018-08,depressurization_cabin,LIME,True,False
AFR35MP_20180815,AFR35MP,AF1817,3991e6,F-HEPG,A320,EIDW,LFPG,LFPG,,engine,planned,unknown,,,,,2018-08-15,2018,8,15,2018-08,engine_problem,,False,False
WJA454_20180815,WJA454,WS454,c0371f,C-FUWS,B737,CYVR,,CYEG,,,,,,,,,2018-08-15,2018,8,15,2018-08,unspecified,,False,False
JLL360_20180816,JLL360,S2360,800173,VT-JGJ,B738,VILK,VABB,VABB,,unclear,unclear,unknown,,,,,2018-08-16,2018,8,16,2018-08,unconfirmed_emergency,,False,False
BAW22KV_20180817,BAW22KV,BA2724,3c1298,D-AWBB,B737,EGKK,EGKK,LEIB,EGKK,technical,return,unknown,,,,,2018-08-17,2018,8,17,2018-08,technical_systems,EGKK,True,False
FHY638_20180818,FHY638,FH638,4b9856,TC-FBV,A320,EGSH,EBBR,LTBS,EBBR,bird,diverted,hold_to_reduce,,,,,2018-08-18,2018,8,18,2018-08,bird_strike,EBBR,True,True
DAL564_20180820,DAL564,DL564,a44988,N3756,B738,KATL,,MMGL,,,,,,,,,2018-08-20,2018,8,20,2018-08,unspecified,,False,False
AAL2756_20180820,AAL2756,AA2756,ac754b,N9010R,A319,KDFW,,MSLP,,,,,,,,,2018-08-20,2018,8,20,2018-08,unspecified,,False,False
AMX493_20180821,AMX493,AM493,0d0707,XA-AMA,B738,KSJC,,MMMX,,,,,,,,,2018-08-21,2018,8,21,2018-08,unspecified,,False,False
ARG1488_20180822,ARG1488,AR1488,e07581,LV-GVA,B738,SABE,,SANE,,,,,,,,,2018-08-22,2018,8,22,2018-08,unspecified,,False,False
KAP47_20180824,KAP47,9K47,a8f51b,N6765T,C402,KLEB,KHPN,KHPN,,,,,,,,,2018-08-24,2018,8,24,2018-08,unspecified,,False,False
DAL389_20180826,DAL389,DL389,a3ad5a,N336NW,A320,KATL,MMSD,MMSD,,,,,,,,,2018-08-26,2018,8,26,2018-08,unspecified,,False,False
ROT1975_20180828,ROT1975,RO1975,4a08e6,YR-BGF,B737,LROP,,LROP,,unclear,unclear,unknown,,,,,2018-08-28,2018,8,28,2018-08,unconfirmed_emergency,,False,False
ICE82B_20180829,ICE82B,FI308,4cc270,TF-ISF,B752,BIKF,,ESSA,,,,,,,,,2018-08-29,2018,8,29,2018-08,unspecified,,False,False
WZZ8HT_20180830,WZZ8HT,W63031,471f63,HA-LXB,A321,LROP,EGKK,EGKK,,technical,planned,unknown,,,,,2018-08-30,2018,8,30,2018-08,technical_systems,,False,False
FDX5086_20180830,FDX5086,FX5086,acc619,N922FD,B752,LFPG,LFSB,LFSB,,unclear,planned,unknown,,,,,2018-08-30,2018,8,30,2018-08,unconfirmed_emergency,,False,False
RYR82HC_20180831,RYR82HC,FR2131,4ca852,EI-EMJ,B738,EGCC,EGCC,GCRR,EGCC,medical,return,unknown,,,,,2018-08-31,2018,8,31,2018-08,medical_emergency,EGCC,True,False
AFR377_20180831,AFR377,AF377,3949ee,F-GSPO,B772,KDTW,LFPG,LFPG,,medical,planned,unknown,,,,,2018-08-31,2018,8,31,2018-08,medical_emergency,,False,False
CMP253_20180902,CMP253,CM253,0c20ce,HP-1854CMP,B738,KLAS,,MPTO,,,,,,,,,2018-09-02,2018,9,2,2018-09,unspecified,,False,False
NDU604_20180902,NDU604,,a7d74b,N604ND,C172,KIWA,KIWA,KIWA,,,,,,,,,2018-09-02,2018,9,2,2018-09,unspecified,,False,False
WJA439_20180904,WJA439,WS439,c04c36,C-GCWJ,B737,CYYZ,,CYEG,,,,,,,,,2018-09-04,2018,9,4,2018-09,unspecified,,False,False
EZY78ED_20180905,EZY78ED,U21746,440181,OE-LQG,A319,EDDB,EDDF,LFBO,EDDF,smoke_burn_smell_flames,diverted,unknown,4bd4c17b,smoke_burn_smell_flames,diverted,unknown,2018-09-05,2018,9,5,2018-09,smoke_fire_fumes,EDDF,True,False
FPO01G_20180907,FPO01G,5O501,396674,F-GZTU,B737,LFPG,LFBD,LFRS,LFBD,unclear,diverted,unknown,,,,,2018-09-07,2018,9,7,2018-09,unconfirmed_emergency,LFBD,True,False
EZY8581_20180907,EZY8581,U28581,44014a,OE-IJB,A320,EGKK,LFPG,LEBL,LFPG,technical,diverted,unknown,,,,,2018-09-07,2018,9,7,2018-09,technical_systems,LFPG,True,False
QID503_20180908,QID503,,ae0475,58-0001,K35R,,EGUL,,,unclear,unclear,unknown,,,,,2018-09-08,2018,9,8,2018-09,unconfirmed_emergency,,False,False
SWR1249_20180908,SWR1249,LX1249,4b1801,HB-JCJ,BCS3,ESSA,LSZH,LSZH,,engine,planned,unknown,4bd699d2,engine,planned,unknown,2018-09-08,2018,9,8,2018-09,engine_problem,,False,False
BEL515_20180911,BEL515,SN515,44ccd5,OO-SFU,A332,EBBR,EBBR,KIAD,EBBR,technical,return,unknown,4bd8d7c0,instrument,return,unknown,2018-09-11,2018,9,11,2018-09,instruments_avionics,EBBR,True,False
JBU741_20180913,JBU741,B6741,a898a9,N653JB,A320,KBOS,,KSRQ,,,,,,,,,2018-09-13,2018,9,13,2018-09,unspecified,,False,False
ARG1478_20180916,ARG1478,AR1478,e071d1,LV-GGQ,B738,SANT,SABE,SABE,,,,,,,,,2018-09-16,2018,9,16,2018-09,unspecified,,False,False
LAN706_20180918,LAN706,LA706,e80451,CC-BGK,B789,SCEL,,LEMD,,,,,,,,,2018-09-18,2018,9,18,2018-09,unspecified,,False,False
AFR474_20180918,AFR474,AF474,3949ef,F-GSPP,B772,LFPG,LFPG,MPTO,LFPG,smoke_burn_smell_flames,return,unknown,4bdd92f0,smoke_burn_smell_flames,return,unknown,2018-09-18,2018,9,18,2018-09,smoke_fire_fumes,LFPG,True,False
UAL2421_20180918,UAL2421,UA2421,aa56b5,N76516,B738,KIAH,KLAS,KLAS,,,,,,,,,2018-09-18,2018,9,18,2018-09,unspecified,,False,False
